Case Name,Appeal Number,Release Date,Status,File Path,PDF URL,Pages,Chunks
Secretary of Defense v. Pratt & Whitney,23-1337,2025-12-05,completed,,https://cafc.uscourts.gov/opinions-orders/23-1337.OPINION.12-5-2025_2614777.pdf,16,8
"Blue Sky the Color of Imagination, LLC v. United States",24-1710,2025-12-04,completed,,https://cafc.uscourts.gov/opinions-orders/24-1710.OPINION.12-4-2025_2613907.pdf,11,6
Colage v. Collins,25-1536,2025-12-03,completed,,https://cafc.uscourts.gov/opinions-orders/25-1536.OPINION.12-3-2025_2613128.pdf,6,3
"Seagen Inc. v. Daiichi Sankyo Company, Ltd.",23-2424,2025-12-02,completed,,https://cafc.uscourts.gov/opinions-orders/23-2424.OPINION.12-2-2025_2612088.pdf,19,10
"In Re GESTURE TECHNOLOGY PARTNERS, LLC",25-1075,2025-12-01,completed,,https://cafc.uscourts.gov/opinions-orders/25-1075.OPINION.12-1-2025_2611111.pdf,9,5
"Akamai Technologies, Inc. v. Mediapointe, Inc.",24-1571,2025-11-25,completed,,https://cafc.uscourts.gov/opinions-orders/24-1571.OPINION.11-25-2025_2609454.pdf,20,10
"Escapex Ip, LLC v. Google LLC",24-1201,2025-11-25,completed,,https://cafc.uscourts.gov/opinions-orders/24-1201.OPINION.11-25-2025_2609432.pdf,14,7
Reyes v. MSPB,24-1717,2025-11-21,completed,,https://cafc.uscourts.gov/opinions-orders/24-1717.OPINION.11-21-2025_2607600.pdf,7,4
Duke University v. Sandoz Inc.,24-1078,2025-11-18,completed,,https://cafc.uscourts.gov/opinions-orders/24-1078.OPINION.11-18-2025_2605503.pdf,18,9
"Nutricia North America, Inc. v. United States",24-1436,2025-11-17,completed,,https://cafc.uscourts.gov/opinions-orders/24-1436.OPINION.11-17-2025_2604754.pdf,20,10
Kaptan Demir Celik Endustrisi Ve Ticaret A.S. v. United States,24-1431,2025-11-17,completed,,https://cafc.uscourts.gov/opinions-orders/24-1431.OPINION.11-17-2025_2604727.pdf,16,8
"Smartrend Manufacturing Group (Smg), Inc. v. Opti-Luxx Inc.",24-1616,2025-11-13,completed,,https://cafc.uscourts.gov/opinions-orders/24-1616.OPINION.11-13-2025_2603126.pdf,18,9
"Canatex Completion Solutions, Inc. v. Wellmatics, LLC",24-1466,2025-11-12,completed,,https://cafc.uscourts.gov/opinions-orders/24-1466.OPINION.11-12-2025_2602112.pdf,17,9
"In Re MOTOROLA SOLUTIONS, INC.",25-134,2025-11-06,completed,,https://cafc.uscourts.gov/opinions-orders/25-134.ORDER.11-6-2025_2599490.pdf,11,6
"Merck Serono S.A. v. Hopewell Pharma Ventures, Inc.",25-1210,2025-10-30,completed,,https://cafc.uscourts.gov/opinions-orders/25-1210.OPINION.10-30-2025_2596117.pdf,34,17
Wright v. Collins,25-1502,2025-10-28,completed,,https://cafc.uscourts.gov/opinions-orders/25-1502.OPINION.10-28-2025_2594460.pdf,6,3
Aortic Innovations LLC v. Edwards Lifesciences Corporation,24-1145,2025-10-27,completed,,https://cafc.uscourts.gov/opinions-orders/24-1145.OPINION.10-27-2025_2593688.pdf,15,8
"Centripetal Networks, LLC v. Palo Alto Networks, Inc.",23-2027,2025-10-22,completed,,https://cafc.uscourts.gov/opinions-orders/23-2027.OPINION.10-22-2025_2591433.pdf,20,10
"Barrette Outdoor Living, Inc. v. Fortress Iron, Lp",24-1231,2025-10-17,completed,,https://cafc.uscourts.gov/opinions-orders/24-1231.OPINION.10-17-2025_2589197.pdf,23,12
Winnemucca Indian Colony v. United States,24-1108,2025-10-16,completed,,https://cafc.uscourts.gov/opinions-orders/24-1108.OPINION.10-16-2025_2588681.pdf,22,11
Brita Lp v. Itc,24-1098,2025-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/24-1098.OPINION.10-15-2025_2587963.pdf,22,11
"Causam Enterprises, Inc. v. Itc",23-1769,2025-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/23-1769.OPINION.10-15-2025_2587890.pdf,16,8
"Iqe Plc v. Newport Fab, LLC",24-1124,2025-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/24-1124.OPINION.10-15-2025_2587999.pdf,17,9
Inland Diamond Products Co. v. Cherry Optical Inc.,24-1106,2025-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/24-1106.OPINION.10-15-2025_2587943.pdf,9,5
Sweet Harvest Foods v. United States,24-1370,2025-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/24-1370.OPINION.10-15-2025_2587907.pdf,18,9
"Causam Enterprises, Inc. v. Ecobee Technologies Ulc",24-1958,2025-10-15,completed,,https://cafc.uscourts.gov/opinions-orders/24-1958.OPINION.10-15-2025_2587898.pdf,12,6
Opm v. Moulton,24-1774,2025-10-10,completed,,https://cafc.uscourts.gov/opinions-orders/24-1774.OPINION.10-10-2025_2586260.pdf,12,6
Gujarat Fluorochemicals Ltd. v. United States,24-1268,2025-10-08,completed,,https://cafc.uscourts.gov/opinions-orders/24-1268.OPINION.10-8-2025_2585099.pdf,17,9
Ag Der Dillinger Huttenwerke v. United States,24-1498,2025-10-06,completed,,https://cafc.uscourts.gov/opinions-orders/24-1498.OPINION.10-6-2025_2583726.pdf,18,9
"US Inventor, Inc. v. PTO",24-1396,2025-10-03,completed,,https://cafc.uscourts.gov/opinions-orders/24-1396.OPINION.10-3-2025_2583057.pdf,14,7
Electrical Welfare Trust Fund v. United States,24-1107,2025-10-02,completed,,https://cafc.uscourts.gov/opinions-orders/24-1107.OPINION.10-2-2025_2582464.pdf,11,6
"Rex Medical, L.P. v. Intuitive Surgical, Inc.",24-1072,2025-10-02,completed,,https://cafc.uscourts.gov/opinions-orders/24-1072.OPINION.10-2-2025_2582479.pdf,27,14
"Focus Products Group International, LLC v. Kartri Sales Co., Inc.",23-1446,2025-09-30,completed,,https://cafc.uscourts.gov/opinions-orders/23-1446.OPINION.9-30-2025_2580961.pdf,45,23
Hmtx Industries LLC v. United States,23-1891,2025-09-25,completed,,https://cafc.uscourts.gov/opinions-orders/23-1891.OPINION.9-25-2025_2578632.pdf,35,18
Apex Bank v. Cc Serve Corp.,23-2143,2025-09-25,completed,,https://cafc.uscourts.gov/opinions-orders/23-2143.OPINION.9-25-2025_2578606.pdf,8,4
Finesse Wireless LLC v. At&t Mobility LLC,24-1039,2025-09-24,completed,,https://cafc.uscourts.gov/opinions-orders/24-1039.OPINION.9-24-2025_2577864.pdf,15,8
Bayer Pharma Aktiengesellschaft v. Mylan Pharmaceuticals Inc.,23-2434,2025-09-23,completed,,https://cafc.uscourts.gov/opinions-orders/23-2434.OPINION.9-23-2025_2576868.pdf,11,6
"Future Link Systems, LLC v. Realtek Semiconductor Corporation",23-1056,2025-09-09,completed,,https://cafc.uscourts.gov/opinions-orders/23-1056.OPINION.9-9-2025_2570209.pdf,16,8
Magema Technology LLC v. Phillips 66,24-1342,2025-09-08,completed,,https://cafc.uscourts.gov/opinions-orders/24-1342.OPINION.9-8-2025_2569384.pdf,23,12
Corinth Pipeworks Pipe Industry Sa v. United States,23-2094,2025-09-08,completed,,https://cafc.uscourts.gov/opinions-orders/23-2094.OPINION.9-8-2025_2569317.pdf,21,11
"V.O.S. Selections, Inc. v. Trump",25-1812,2025-08-29,completed,,https://cafc.uscourts.gov/opinions-orders/25-1812.OPINION.8-29-2025_2566151.pdf,127,64
Hyatt v. Stewart,18-2390,2025-08-29,completed,,https://cafc.uscourts.gov/opinions-orders/18-2390.OPINION.8-29-2025_2565719.pdf,14,7
"percipient.ai, Inc. v. United States",23-1970,2025-08-28,completed,,https://cafc.uscourts.gov/opinions-orders/23-1970.OPINION.8-28-2025_2565256.pdf,39,20
White v. Hhs,24-1372,2025-08-27,completed,,https://cafc.uscourts.gov/opinions-orders/24-1372.OPINION.8-27-2025_2564357.pdf,16,8
Global Health Solutions LLC v. Selner,23-2009,2025-08-26,completed,,https://cafc.uscourts.gov/opinions-orders/23-2009.OPINION.8-26-2025_2563662.pdf,19,10
In Re BRUNETTI,23-1539,2025-08-26,completed,,https://cafc.uscourts.gov/opinions-orders/23-1539.OPINION.8-26-2025_2563636.pdf,24,12
King v. United States,23-1956,2025-08-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1956.OPINION.8-18-2025_2559674.pdf,33,17
Sauer West LLC v. United States,24-1114,2025-08-14,completed,,https://cafc.uscourts.gov/opinions-orders/24-1114.OPINION.8-14-2025_2558393.pdf,14,7
"Laboratory Corporation of America Holdings v. Qiagen Sciences, LLC",23-2350,2025-08-13,completed,,https://cafc.uscourts.gov/opinions-orders/23-2350.OPINION.8-13-2025_2557800.pdf,20,10
"Taction Technology, Inc. v. Apple Inc.",23-2349,2025-08-13,completed,,https://cafc.uscourts.gov/opinions-orders/23-2349.OPINION.8-13-2025_2557815.pdf,15,8
"Valeo North America, Inc. v. United States",24-1189,2025-08-12,completed,,https://cafc.uscourts.gov/opinions-orders/24-1189.OPINION.8-12-2025_2557163.pdf,18,9
Fisher v. United States,24-1167,2025-08-12,completed,,https://cafc.uscourts.gov/opinions-orders/24-1167.OPINION.8-12-2025_2557187.pdf,15,8
"Powerblock Holdings, Inc. v. Ifit, Inc.",24-1177,2025-08-11,completed,,https://cafc.uscourts.gov/opinions-orders/24-1177.OPINION.8-11-2025_2556557.pdf,12,6
Mondis Technology Ltd. v. Lg Electronics Inc.,23-2117,2025-08-08,completed,,https://cafc.uscourts.gov/opinions-orders/23-2117.OPINION.8-8-2025_2555742.pdf,17,9
Tau-Ken Temir LLP v. United States,22-2204,2025-08-04,completed,,https://cafc.uscourts.gov/opinions-orders/22-2204.OPINION.8-4-2025_2553557.pdf,32,16
"Kroy Ip Holdings, LLC v. Groupon, Inc.",23-1359,2025-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/23-1359.ORDER.8-1-2025_2553055.pdf,14,7
"Fmc Corporation v. Sharda USA, LLC",24-2335,2025-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/24-2335.OPINION.8-1-2025_2553038.pdf,16,8
Wright v. Collins,24-1105,2025-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/24-1105.OPINION.8-1-2025_2553030.pdf,14,7
Dinh v. United States,23-2100,2025-07-31,completed,,https://cafc.uscourts.gov/opinions-orders/23-2100.OPINION.7-31-2025_2552448.pdf,14,7
Cerrone v. Hhs,24-1281,2025-07-29,completed,,https://cafc.uscourts.gov/opinions-orders/24-1281.OPINION.7-29-2025_2551198.pdf,16,8
Jilin Forest Industry Jinqiao Flooring Group Co. v. United States,23-2245,2025-07-28,completed,,https://cafc.uscourts.gov/opinions-orders/23-2245.OPINION.7-28-2025_2550243.pdf,14,7
"Jiaxing Super Lighting Electric Appliance, Co. v. Ch Lighting Technology Co., Ltd.",23-1715,2025-07-28,completed,,https://cafc.uscourts.gov/opinions-orders/23-1715.OPINION.7-28-2025_2550316.pdf,22,11
"Acorda Therapeutics, Inc. v. Alkermes Plc",23-2374,2025-07-25,completed,,https://cafc.uscourts.gov/opinions-orders/23-2374.OPINION.7-25-2025_2549800.pdf,14,7
"Sunkist Growers, Inc. v. Intrastate Distributors, Inc.",24-1212,2025-07-23,completed,,https://cafc.uscourts.gov/opinions-orders/24-1212.OPINION.7-23-2025_2548601.pdf,9,5
Igt v. Zynga Inc.,23-2262,2025-07-22,completed,,https://cafc.uscourts.gov/opinions-orders/23-2262.OPINION.7-22-2025_2547840.pdf,30,15
"Colibri Heart Valve LLC v. Medtronic Corevalve, LLC",23-2153,2025-07-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-2153.OPINION.7-18-2025_2546584.pdf,25,13
Top Brand LLC v. Cozy Comfort Company LLC,24-2191,2025-07-17,completed,,https://cafc.uscourts.gov/opinions-orders/24-2191.OPINION.7-17-2025_2546100.pdf,28,14
"Shockwave Medical, Inc. v. Cardiovascular Systems, Inc.",23-1864,2025-07-14,completed,,https://cafc.uscourts.gov/opinions-orders/23-1864.OPINION.7-14-2025_2543865.pdf,19,10
"Janssen Pharmaceuticals, Inc. v. Teva Pharmaceuticals USA, Inc.",25-1228,2025-07-08,completed,,https://cafc.uscourts.gov/opinions-orders/25-1228.OPINION.7-8-2025_2541042.pdf,32,16
"Egenera, Inc. v. Cisco Systems, Inc.",23-1428,2025-07-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1428.OPINION.7-7-2025_2540120.pdf,24,12
"Eye Therapies, LLC v. Slayback Pharma LLC",23-2173,2025-06-30,completed,,https://cafc.uscourts.gov/opinions-orders/23-2173.OPINION.6-30-2025_2537409.pdf,14,7
Deal v. Collins,23-2214,2025-06-27,completed,,https://cafc.uscourts.gov/opinions-orders/23-2214.OPINION.6-27-2025_2536866.pdf,8,4
Realtek Semiconductor Corporation v. Itc,23-1187,2025-06-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1187.OPINION.6-18-2025_2532474.pdf,12,6
Ag Der Dillinger Huttenwerke v. United States,24-1219,2025-06-17,completed,,https://cafc.uscourts.gov/opinions-orders/24-1219.OPINION.6-17-2025_2531906.pdf,17,9
"Optis Wireless Technology, LLC v. Apple Inc.",22-1925,2025-06-16,completed,,https://cafc.uscourts.gov/opinions-orders/22-1925.OPINION.6-16-2025_2530981.pdf,37,19
"Ancora Technologies, Inc. v. Roku, Inc.",23-1674,2025-06-16,completed,,https://cafc.uscourts.gov/opinions-orders/23-1674.OPINION.6-16-2025_2531031.pdf,21,11
Stuart v. Opm,24-1024,2025-06-13,completed,,https://cafc.uscourts.gov/opinions-orders/24-1024.OPINION.6-13-2025_2530127.pdf,10,5
United Services Automobile Association v. Pnc Bank N.A.,23-1639,2025-06-12,completed,,https://cafc.uscourts.gov/opinions-orders/23-1639.OPINION.6-12-2025_2529490.pdf,13,7
"Mitek Systems, Inc. v. United Services Automobile Association",23-1687,2025-06-12,completed,,https://cafc.uscourts.gov/opinions-orders/23-1687.OPINION.6-12-2025_2529482.pdf,25,13
"Agilent Technologies, Inc. v. Synthego Corp.",23-2186,2025-06-11,completed,,https://cafc.uscourts.gov/opinions-orders/23-2186.OPINION.6-11-2025_2528805.pdf,21,11
Lobo v. DOJ,24-1198,2025-06-09,completed,,https://cafc.uscourts.gov/opinions-orders/24-1198.OPINION.6-9-2025_2527209.pdf,13,7
Fraunhofer-Gesellschaft v. Sirius Xm Radio Inc.,23-2267,2025-06-09,completed,,https://cafc.uscourts.gov/opinions-orders/23-2267.OPINION.6-9-2025_2527152.pdf,16,8
Stratton v. Hhs,23-2230,2025-06-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-2230.OPINION.6-6-2025_2526487.pdf,7,4
La Molisana S.P.A. v. United States,23-2060,2025-06-05,completed,,https://cafc.uscourts.gov/opinions-orders/23-2060.OPINION.6-5-2025_2525658.pdf,16,8
Beacon Point Associates LLC v. DVA,24-1076,2025-06-05,completed,,https://cafc.uscourts.gov/opinions-orders/24-1076.OPINION.6-5-2025_2525700.pdf,9,5
"Dolby Laboratories Licensing Corporation v. Unified Patents, LLC",23-2110,2025-06-05,completed,,https://cafc.uscourts.gov/opinions-orders/23-2110.OPINION.6-5-2025_2525678.pdf,8,4
Bannister v. United States,23-1978,2025-06-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-1978.OPINION.6-4-2025_2524969.pdf,10,5
"Alnylam Pharmaceuticals, Inc. v. Moderna, Inc.",23-2357,2025-06-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-2357.OPINION.6-4-2025_2525006.pdf,19,10
Herrington v. Collins,23-2358,2025-05-30,completed,,https://cafc.uscourts.gov/opinions-orders/23-2358.OPINION.5-30-2025_2522915.pdf,5,3
"Sigray, Inc. v. Carl Zeiss X-Ray Microscopy, Inc.",23-2211,2025-05-23,completed,,https://cafc.uscourts.gov/opinions-orders/23-2211.OPINION.5-23-2025_2519843.pdf,13,7
"Curtin v. United Trademark Holdings, Inc.",23-2140,2025-05-22,completed,,https://cafc.uscourts.gov/opinions-orders/23-2140.OPINION.5-22-2025_2519037.pdf,21,11
In Re VETEMENTS GROUP AG,23-2050,2025-05-21,completed,,https://cafc.uscourts.gov/opinions-orders/23-2050.OPINION.5-21-2025_2518135.pdf,25,13
"Ecofactor, Inc. v. Google LLC",23-1101,2025-05-21,completed,,https://cafc.uscourts.gov/opinions-orders/23-1101.OPINION.5-21-2025_2518737.pdf,48,24
Lessors of Abchakan Village v. Defense,23-1523,2025-05-16,completed,,https://cafc.uscourts.gov/opinions-orders/23-1523.OPINION.5-16-2025_2515800.pdf,26,13
"The Broad Institute, Inc. v. the Regents of the University of California",22-1653,2025-05-12,completed,,https://cafc.uscourts.gov/opinions-orders/22-1653.OPINION.5-12-2025_2512679.pdf,29,15
"Incyte Corporation v. Sun Pharmaceutical Industries, Inc.",23-1300,2025-05-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1300.OPINION.5-7-2025_2510640.pdf,18,9
"Ingenico Inc. v. Ioengine, LLC",23-1367,2025-05-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1367.OPINION.5-7-2025_2510618.pdf,16,8
"In Re THOMAS D. FOSTER, APC",23-1527,2025-05-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1527.OPINION.5-7-2025_2510558.pdf,10,5
"Incyte Corporation v. Sun Pharmaceutical Industries, Ltd.",25-1162,2025-05-07,completed,,https://cafc.uscourts.gov/opinions-orders/25-1162.OPINION.5-7-2025_2510579.pdf,6,3
In Re KOSTIC,23-1437,2025-05-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1437.OPINION.5-6-2025_2509915.pdf,13,7
"Jazz Pharmaceuticals, Inc. v. Avadel Cns Pharmaceuticals, LLC",24-2274,2025-05-06,completed,,https://cafc.uscourts.gov/opinions-orders/24-2274.OPINION.5-6-2025_2509887.pdf,26,13
"Ats Ford Drive Investment, LLC v. United States",23-1760,2025-05-05,completed,,https://cafc.uscourts.gov/opinions-orders/23-1760.OPINION.5-5-2025_2508965.pdf,15,8
Amezquita v. Collins,23-1975,2025-05-05,completed,,https://cafc.uscourts.gov/opinions-orders/23-1975.OPINION.5-5-2025_2508957.pdf,8,4
Hatfield v. Collins,23-2280,2025-05-02,completed,,https://cafc.uscourts.gov/opinions-orders/23-2280.OPINION.5-2-2025_2508296.pdf,13,7
Steele v. Collins,23-2049,2025-05-01,completed,,https://cafc.uscourts.gov/opinions-orders/23-2049.OPINION.5-1-2025_2507562.pdf,14,7
"Fintiv, Inc. v. Paypal Holdings, Inc.",23-2312,2025-04-30,completed,,https://cafc.uscourts.gov/opinions-orders/23-2312.OPINION.4-30-2025_2506759.pdf,13,7
In Re PT MEDISAFE TECHNOLOGIES,23-1573,2025-04-29,completed,,https://cafc.uscourts.gov/opinions-orders/23-1573.OPINION.4-29-2025_2506094.pdf,13,7
Qualcomm Incorporated v. Apple Inc.,23-1208,2025-04-23,completed,,https://cafc.uscourts.gov/opinions-orders/23-1208.OPINION.4-23-2025_2503159.pdf,24,12
Boyd v. United States,23-2104,2025-04-22,completed,,https://cafc.uscourts.gov/opinions-orders/23-2104.OPINION.4-22-2025_2502285.pdf,8,4
Marmen Inc. v. United States,23-1877,2025-04-22,completed,,https://cafc.uscourts.gov/opinions-orders/23-1877.OPINION.4-22-2025_2502268.pdf,24,12
"Dongkuk S&C Co., Ltd. v. United States",23-1419,2025-04-21,completed,,https://cafc.uscourts.gov/opinions-orders/23-1419.OPINION.4-21-2025_2501317.pdf,23,12
Target Corporation v. United States,23-2274,2025-04-21,completed,,https://cafc.uscourts.gov/opinions-orders/23-2274.OPINION.4-21-2025_2501299.pdf,25,13
"Recentive Analytics, Inc. v. Fox Corp.",23-2437,2025-04-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-2437.OPINION.4-18-2025_2500790.pdf,18,9
"Sage Products, LLC v. Stewart",23-1603,2025-04-15,completed,,https://cafc.uscourts.gov/opinions-orders/23-1603.OPINION.4-15-2025_2498701.pdf,17,9
"In Re SAP AMERICA, INC.",25-118,2025-04-10,completed,,https://cafc.uscourts.gov/opinions-orders/25-118.ORDER.4-10-2025_2496431.pdf,6,3
Heritage Alliance v. American Policy Roundtable,24-1155,2025-04-09,completed,,https://cafc.uscourts.gov/opinions-orders/24-1155.OPINION.4-9-2025_2495686.pdf,12,6
"Azurity Pharmaceuticals, Inc. v. Alkem Laboratories Ltd.",23-1977,2025-04-08,completed,,https://cafc.uscourts.gov/opinions-orders/23-1977.OPINION.4-8-2025_2495069.pdf,17,9
Smith v. Collins,23-1749,2025-04-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-1749.OPINION.4-4-2025_2493750.pdf,7,4
"Ams-Osram USA Inc. v. Renesas Electronics America, Inc.",22-2185,2025-04-04,completed,,https://cafc.uscourts.gov/opinions-orders/22-2185.OPINION.4-4-2025_2493736.pdf,31,16
In Re FOREST,23-1178,2025-04-03,completed,,https://cafc.uscourts.gov/opinions-orders/23-1178.OPINION.4-3-2025_2493030.pdf,12,6
United Water Conservation District v. United States,23-1602,2025-04-02,completed,,https://cafc.uscourts.gov/opinions-orders/23-1602.OPINION.4-2-2025_2492406.pdf,13,7
Roseberry v. Collins,23-2288,2025-03-31,completed,,https://cafc.uscourts.gov/opinions-orders/23-2288.OPINION.3-31-2025_2490570.pdf,6,3
Etchegoinberry v. United States,23-2196,2025-03-24,completed,,https://cafc.uscourts.gov/opinions-orders/23-2196.OPINION.3-24-2025_2486422.pdf,11,6
In Re RIGGS,22-1945,2025-03-24,completed,,https://cafc.uscourts.gov/opinions-orders/22-1945.OPINION.3-24-2025_2486478.pdf,16,8
Wash World Inc. v. Belanger Inc.,23-1841,2025-03-24,completed,,https://cafc.uscourts.gov/opinions-orders/23-1841.OPINION.3-24-2025_2486454.pdf,26,13
"Actavis Laboratories Fl, Inc. v. United States",23-1320,2025-03-21,completed,,https://cafc.uscourts.gov/opinions-orders/23-1320.OPINION.3-21-2025_2485837.pdf,25,13
Maquet Cardiovascular LLC v. Abiomed Inc.,23-2045,2025-03-21,completed,,https://cafc.uscourts.gov/opinions-orders/23-2045.OPINION.3-21-2025_2485815.pdf,24,12
"Dollar Financial Group, Inc. v. Brittex Financial, Inc.",23-1375,2025-03-19,completed,,https://cafc.uscourts.gov/opinions-orders/23-1375.OPINION.3-19-2025_2484335.pdf,16,8
"Amp Plus, Inc. v. Dmf, Inc.",23-1997,2025-03-19,completed,,https://cafc.uscourts.gov/opinions-orders/23-1997.OPINION.3-19-2025_2484308.pdf,7,4
Williams v. Collins,23-1840,2025-03-19,completed,,https://cafc.uscourts.gov/opinions-orders/23-1840.OPINION.3-19-2025_2484316.pdf,9,5
"Associated Energy Group, LLC v. United States",24-1574,2025-03-19,completed,,https://cafc.uscourts.gov/opinions-orders/24-1574.OPINION.3-19-2025_2484290.pdf,12,6
Realtek Semiconductor Corporation v. Itc,23-1095,2025-03-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1095.OPINION.3-18-2025_2483550.pdf,5,3
Lesko v. United States,23-1823,2025-03-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1823.ORDER.3-18-2025_2484097.pdf,3,2
"Regeneron Pharmaceuticals, Inc. v. Mylan Pharmaceuticals Inc.",24-2351,2025-03-14,completed,,https://cafc.uscourts.gov/opinions-orders/24-2351.OPINION.3-14-2025_2482096.pdf,20,10
"In Re XENCOR, INC.",24-1870,2025-03-13,completed,,https://cafc.uscourts.gov/opinions-orders/24-1870.OPINION.3-13-2025_2481245.pdf,19,10
"Merck Sharp & Dohme B v. v. Aurobindo Pharma USA, Inc.",23-2254,2025-03-13,completed,,https://cafc.uscourts.gov/opinions-orders/23-2254.OPINION.3-13-2025_2481365.pdf,17,9
"Bullshine Distillery LLC v. Sazerac Brands, LLC",23-1682,2025-03-12,completed,,https://cafc.uscourts.gov/opinions-orders/23-1682.OPINION.3-12-2025_2480640.pdf,12,6
